date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui
2004-01-01,AT,74,78,94,0,42,50,71
2004-02-01,AT,91,77,88,28,21,0,27
2004-03-01,AT,94,64,67,0,76,54,88
2004-04-01,AT,100,59,82,33,31,0,28
2004-05-01,AT,79,59,81,25,40,44,65
2004-06-01,AT,89,62,99,100,16,27,81
2004-07-01,AT,88,66,100,44,100,100,59
2004-08-01,AT,94,59,83,22,27,66,55
2004-09-01,AT,82,60,85,14,35,26,46
2004-10-01,AT,84,53,70,20,28,0,45
2004-11-01,AT,78,66,64,18,26,13,35
2004-12-01,AT,78,63,82,20,25,25,40
2005-01-01,AT,70,70,79,26,39,31,31
2005-02-01,AT,74,67,73,15,32,31,100
2005-03-01,AT,75,56,66,32,0,10,57
2005-04-01,AT,75,50,54,17,17,23,74
2005-05-01,AT,83,55,76,16,32,34,34
2005-06-01,AT,73,54,65,39,23,67,53
2005-07-01,AT,80,57,73,35,45,85,43
2005-08-01,AT,79,63,95,53,14,39,53
2005-09-01,AT,75,53,59,27,17,22,44
2005-10-01,AT,71,54,66,24,22,26,37
2005-11-01,AT,82,56,64,11,58,14,25
2005-12-01,AT,67,57,63,0,0,23,23
2006-01-01,AT,71,67,63,25,39,13,46
2006-02-01,AT,70,63,59,20,25,22,51
2006-03-01,AT,67,54,51,20,18,16,45
2006-04-01,AT,63,45,61,26,29,9,39
2006-05-01,AT,68,50,62,35,23,28,35
2006-06-01,AT,76,47,65,38,25,37,52
2006-07-01,AT,80,53,80,27,0,48,79
2006-08-01,AT,79,51,75,28,24,26,68
2006-09-01,AT,68,49,68,22,22,27,34
2006-10-01,AT,65,50,58,11,30,0,36
2006-11-01,AT,66,53,56,9,0,7,44
2006-12-01,AT,67,56,58,17,27,11,33
2007-01-01,AT,69,59,61,26,10,22,25
2007-02-01,AT,69,58,59,24,27,8,28
2007-03-01,AT,68,47,47,24,10,16,37
2007-04-01,AT,63,40,51,15,29,21,39
2007-05-01,AT,67,43,53,31,20,22,47
2007-06-01,AT,72,44,65,19,27,27,49
2007-07-01,AT,69,53,64,26,22,55,59
2007-08-01,AT,69,42,58,16,14,29,50
2007-09-01,AT,70,45,58,21,24,3,36
2007-10-01,AT,72,45,50,14,8,6,44
2007-11-01,AT,64,48,55,12,21,15,44
2007-12-01,AT,60,44,54,19,19,12,30
2008-01-01,AT,62,53,56,23,20,17,40
2008-02-01,AT,62,47,49,25,14,11,39
2008-03-01,AT,68,41,42,17,12,22,39
2008-04-01,AT,68,41,41,17,21,19,39
2008-05-01,AT,65,43,54,22,24,25,45
2008-06-01,AT,69,44,52,13,14,33,68
2008-07-01,AT,68,41,57,20,17,28,40
2008-08-01,AT,64,42,56,24,22,26,39
2008-09-01,AT,66,39,44,10,25,10,37
2008-10-01,AT,64,40,44,13,17,10,26
2008-11-01,AT,64,37,49,16,18,19,25
2008-12-01,AT,64,37,44,13,15,13,29
2009-01-01,AT,61,42,45,18,30,8,33
2009-02-01,AT,62,34,35,12,19,19,41
2009-03-01,AT,60,37,38,21,21,9,30
2009-04-01,AT,64,31,36,10,7,14,42
2009-05-01,AT,67,31,41,16,13,11,45
2009-06-01,AT,60,33,43,18,16,15,38
2009-07-01,AT,71,37,48,21,19,31,46
2009-08-01,AT,65,32,50,11,20,26,53
2009-09-01,AT,68,33,46,9,15,10,55
2009-10-01,AT,67,34,40,12,22,4,41
2009-11-01,AT,65,37,43,16,15,10,36
2009-12-01,AT,62,35,37,14,17,10,66
2010-01-01,AT,59,43,40,14,18,11,34
2010-02-01,AT,64,37,32,9,15,9,36
2010-03-01,AT,69,33,35,9,17,7,32
2010-04-01,AT,64,29,38,12,18,12,48
2010-05-01,AT,69,30,38,9,9,11,47
2010-06-01,AT,65,30,42,14,21,18,36
2010-07-01,AT,74,36,46,21,24,23,41
2010-08-01,AT,69,31,40,13,19,21,37
2010-09-01,AT,69,28,35,7,14,7,34
2010-10-01,AT,65,29,35,5,16,8,22
2010-11-01,AT,62,30,31,9,21,8,31
2010-12-01,AT,59,29,34,6,12,9,22
2011-01-01,AT,59,33,32,7,12,7,32
2011-02-01,AT,57,30,34,14,9,10,29
2011-03-01,AT,62,27,31,7,11,10,24
2011-04-01,AT,60,24,31,7,12,9,29
2011-05-01,AT,60,24,31,13,14,12,33
2011-06-01,AT,60,25,35,15,14,20,36
2011-07-01,AT,73,30,41,10,10,22,36
2011-08-01,AT,77,29,36,8,22,18,44
2011-09-01,AT,73,28,29,7,15,8,28
2011-10-01,AT,72,27,33,7,17,8,31
2011-11-01,AT,65,31,30,7,18,6,26
2011-12-01,AT,61,32,30,7,17,13,24
2012-01-01,AT,70,36,34,9,16,9,33
2012-02-01,AT,66,31,30,10,18,8,26
2012-03-01,AT,65,26,26,6,15,8,30
2012-04-01,AT,65,26,31,11,15,11,32
2012-05-01,AT,65,26,30,6,14,13,33
2012-06-01,AT,59,25,32,13,14,16,35
2012-07-01,AT,68,28,37,8,18,20,35
2012-08-01,AT,72,29,32,11,18,19,33
2012-09-01,AT,60,26,32,8,13,9,29
2012-10-01,AT,58,25,26,6,15,9,24
2012-11-01,AT,60,26,28,6,17,6,25
2012-12-01,AT,60,27,25,11,8,7,22
2013-01-01,AT,63,31,28,11,16,9,25
2013-02-01,AT,63,30,29,8,16,9,29
2013-03-01,AT,59,25,26,11,15,9,27
2013-04-01,AT,58,22,24,8,7,10,24
2013-05-01,AT,58,22,25,10,10,11,26
2013-06-01,AT,59,25,29,11,18,15,25
2013-07-01,AT,66,27,34,10,14,24,31
2013-08-01,AT,91,28,34,10,16,21,43
2013-09-01,AT,71,26,23,8,17,9,38
2013-10-01,AT,63,26,25,6,16,8,32
2013-11-01,AT,62,26,25,7,15,6,39
2013-12-01,AT,62,27,26,8,14,7,20
2014-01-01,AT,62,31,30,9,17,9,27
2014-02-01,AT,63,30,27,10,15,8,29
2014-03-01,AT,62,25,25,8,12,8,26
2014-04-01,AT,56,23,25,10,11,12,30
2014-05-01,AT,57,27,26,11,13,10,31
2014-06-01,AT,60,27,29,10,15,16,29
2014-07-01,AT,69,28,32,13,16,22,33
2014-08-01,AT,83,28,33,10,17,20,30
2014-09-01,AT,61,26,26,5,13,7,28
2014-10-01,AT,58,25,24,8,13,7,26
2014-11-01,AT,61,26,24,8,13,8,23
2014-12-01,AT,58,27,26,6,12,8,20
2015-01-01,AT,60,29,25,8,15,10,26
2015-02-01,AT,58,26,23,7,12,8,25
2015-03-01,AT,64,25,26,10,13,11,25
2015-04-01,AT,61,24,24,7,13,8,27
2015-05-01,AT,63,25,29,8,12,11,31
2015-06-01,AT,65,31,31,11,14,18,32
2015-07-01,AT,71,29,32,13,17,19,30
2015-08-01,AT,84,29,33,10,16,18,35
2015-09-01,AT,65,27,26,6,12,7,32
2015-10-01,AT,60,25,24,6,13,4,27
2015-11-01,AT,56,25,23,5,11,5,26
2015-12-01,AT,57,26,24,6,11,8,24
2016-01-01,AT,63,29,25,8,13,10,27
2016-02-01,AT,66,29,26,5,14,10,33
2016-03-01,AT,61,25,24,9,13,9,23
2016-04-01,AT,59,23,23,6,11,8,26
2016-05-01,AT,62,27,27,10,10,11,31
2016-06-01,AT,65,31,30,8,11,15,35
2016-07-01,AT,76,33,30,11,12,22,34
2016-08-01,AT,80,31,29,10,12,14,30
2016-09-01,AT,69,26,26,7,13,7,53
2016-10-01,AT,62,27,37,7,12,6,33
2016-11-01,AT,58,27,41,7,12,8,43
