ID,NAME,TYPE,SRC,REFYEAR
,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,FIN_REP,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/irish-statutory-reports-and-non-financial-report-for-fiscal-2024-v1.pdf,2024.0
,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/jci-plc-2023-irish-annual-report.pdf,2023.0
,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/irish-statutory-reports-for-fiscal-2022.pdf,2022.0
,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/annual-reports/2024-annual-report-proxy-statement.pdf,2024.0
,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/2024-proxy-statement.pdf,2024.0
,JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY,OTHER,https://investors.johnsoncontrols.com/~/media/Files/J/Johnson-Controls-IR-V2/annual-meeting-materials/annual-reports/2022-annual-report.pdf,2022.0
,SOCIETE NATIONALE SNCF,FIN_REP,nan,nan
,SOCIETE NATIONALE SNCF,OTHER,,
,SOCIETE NATIONALE SNCF,OTHER,,
,SOCIETE NATIONALE SNCF,OTHER,,
,SOCIETE NATIONALE SNCF,OTHER,,
,SOCIETE NATIONALE SNCF,OTHER,,
,APTIV PLC,FIN_REP,https://downloads.aptiv.com/libraries/docs/default-source/aptiv-storage/aptiv-annual-report-2022.pdf,2022.0
,APTIV PLC,OTHER,https://www.aptiv.com/docs/default-source/annual-reports/2021_annualreport.pdf,2021.0
,APTIV PLC,OTHER,,
,APTIV PLC,OTHER,,
,APTIV PLC,OTHER,,
,APTIV PLC,OTHER,,
,SIEMENS,FIN_REP,https://assets.new.siemens.com/siemens/assets/api/uuid:ae46683e-14dd-4455-a882-09d4184457c7/Annual-Financial-Report-FY2025.pdf,2025.0
,SIEMENS,OTHER,https://www.siemens.com/applications/b09c49eb-3a14-73b3-9f71-e30e3c2dfdbd/assets/pdfs/en/Siemens_Report_FY2024.pdf,2024.0
,SIEMENS,OTHER,https://assets.new.siemens.com/siemens/assets/api/uuid:ae46683e-14dd-4455-a882-09d4184457c7/Annual-Financial-Report-FY2024.pdf,2024.0
,SIEMENS,OTHER,,
,SIEMENS,OTHER,,
,SIEMENS,OTHER,,
,COCA-COLA COMPANY (THE),FIN_REP,https://www.annualreports.com/HostedData/AnnualReportArchive/c/NYSE_KO_2023.pdf,2023.0
,COCA-COLA COMPANY (THE),OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/c/NYSE_KO_2022.pdf,2022.0
,COCA-COLA COMPANY (THE),OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/c/NYSE_KO_2021.pdf,2021.0
,COCA-COLA COMPANY (THE),OTHER,https://www.annualreports.com/HostedData/AnnualReportArchive/c/NYSE_KO_2020.pdf,2020.0
,COCA-COLA COMPANY (THE),OTHER,https://investors.coca-colacompany.com/filings-reports/annual-filings-10-k/annual-report-2025.pdf,2025.0
