date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,AT,66,65,41,66
2004-02-01,AT,65,68,39,48
2004-03-01,AT,71,70,46,63
2004-04-01,AT,66,73,45,59
2004-05-01,AT,67,67,41,48
2004-06-01,AT,66,70,51,59
2004-07-01,AT,63,67,47,53
2004-08-01,AT,57,64,42,55
2004-09-01,AT,65,68,44,47
2004-10-01,AT,68,69,41,48
2004-11-01,AT,79,82,47,61
2004-12-01,AT,78,68,48,48
2005-01-01,AT,69,66,45,57
2005-02-01,AT,69,68,42,51
2005-03-01,AT,70,66,54,50
2005-04-01,AT,67,75,49,61
2005-05-01,AT,68,71,46,62
2005-06-01,AT,69,73,40,55
2005-07-01,AT,65,66,43,51
2005-08-01,AT,65,74,44,56
2005-09-01,AT,64,59,48,44
2005-10-01,AT,65,63,48,42
2005-11-01,AT,72,72,59,48
2005-12-01,AT,75,70,63,46
2006-01-01,AT,63,64,56,56
2006-02-01,AT,66,66,49,52
2006-03-01,AT,65,70,53,58
2006-04-01,AT,61,62,45,45
2006-05-01,AT,66,75,47,51
2006-06-01,AT,62,68,45,46
2006-07-01,AT,60,66,46,43
2006-08-01,AT,61,71,43,50
2006-09-01,AT,64,64,47,47
2006-10-01,AT,66,69,41,48
2006-11-01,AT,68,73,47,52
2006-12-01,AT,72,65,52,50
2007-01-01,AT,64,64,47,51
2007-02-01,AT,62,65,48,48
2007-03-01,AT,64,68,46,50
2007-04-01,AT,58,66,45,50
2007-05-01,AT,63,64,45,51
2007-06-01,AT,58,61,43,49
2007-07-01,AT,57,62,42,50
2007-08-01,AT,56,61,43,44
2007-09-01,AT,60,63,46,49
2007-10-01,AT,63,64,45,47
2007-11-01,AT,66,64,50,48
2007-12-01,AT,64,59,57,47
2008-01-01,AT,58,56,47,45
2008-02-01,AT,58,59,45,46
2008-03-01,AT,56,57,47,47
2008-04-01,AT,58,62,48,56
2008-05-01,AT,55,60,47,49
2008-06-01,AT,55,56,45,49
2008-07-01,AT,52,58,43,45
2008-08-01,AT,54,56,45,43
2008-09-01,AT,53,55,44,45
2008-10-01,AT,56,53,47,43
2008-11-01,AT,60,61,50,45
2008-12-01,AT,59,58,56,45
2009-01-01,AT,54,53,45,44
2009-02-01,AT,55,68,46,50
2009-03-01,AT,54,54,45,46
2009-04-01,AT,49,50,42,39
2009-05-01,AT,49,49,40,43
2009-06-01,AT,48,50,39,41
2009-07-01,AT,47,46,39,39
2009-08-01,AT,50,50,40,42
2009-09-01,AT,47,49,40,40
2009-10-01,AT,48,50,40,43
2009-11-01,AT,53,44,41,39
2009-12-01,AT,51,46,49,40
2010-01-01,AT,45,46,37,47
2010-02-01,AT,47,45,38,40
2010-03-01,AT,45,44,40,44
2010-04-01,AT,44,43,37,36
2010-05-01,AT,43,44,35,46
2010-06-01,AT,41,40,36,36
2010-07-01,AT,37,33,33,37
2010-08-01,AT,43,40,32,40
2010-09-01,AT,41,40,33,35
2010-10-01,AT,42,40,33,39
2010-11-01,AT,44,42,35,41
2010-12-01,AT,45,42,43,43
2011-01-01,AT,52,51,43,54
2011-02-01,AT,52,47,43,51
2011-03-01,AT,54,53,42,50
2011-04-01,AT,49,50,42,48
2011-05-01,AT,55,54,42,60
2011-06-01,AT,53,55,44,57
2011-07-01,AT,50,52,43,50
2011-08-01,AT,48,52,41,47
2011-09-01,AT,51,51,43,50
2011-10-01,AT,59,58,43,55
2011-11-01,AT,60,62,43,60
2011-12-01,AT,63,61,53,56
2012-01-01,AT,57,58,42,60
2012-02-01,AT,57,58,43,57
2012-03-01,AT,54,55,37,52
2012-04-01,AT,53,56,44,56
2012-05-01,AT,53,59,41,61
2012-06-01,AT,54,57,44,61
2012-07-01,AT,55,58,46,59
2012-08-01,AT,57,60,42,59
2012-09-01,AT,58,61,42,67
2012-10-01,AT,58,63,44,58
2012-11-01,AT,60,60,43,63
2012-12-01,AT,65,57,54,61
2013-01-01,AT,58,61,43,61
2013-02-01,AT,60,58,41,64
2013-03-01,AT,60,59,43,56
2013-04-01,AT,60,56,41,51
2013-05-01,AT,58,60,43,61
2013-06-01,AT,56,60,44,62
2013-07-01,AT,59,59,42,54
2013-08-01,AT,59,60,44,61
2013-09-01,AT,58,55,41,57
2013-10-01,AT,64,60,46,56
2013-11-01,AT,63,57,43,60
2013-12-01,AT,67,55,58,56
2014-01-01,AT,62,57,45,61
2014-02-01,AT,63,58,44,60
2014-03-01,AT,63,58,49,60
2014-04-01,AT,61,55,47,54
2014-05-01,AT,63,62,46,57
2014-06-01,AT,59,55,48,64
2014-07-01,AT,61,57,49,59
2014-08-01,AT,64,61,45,59
2014-09-01,AT,61,57,47,56
2014-10-01,AT,64,58,48,56
2014-11-01,AT,66,59,49,57
2014-12-01,AT,71,58,65,61
2015-01-01,AT,64,58,49,63
2015-02-01,AT,64,58,48,59
2015-03-01,AT,66,60,52,61
2015-04-01,AT,66,58,52,56
2015-05-01,AT,66,60,54,63
2015-06-01,AT,62,59,57,57
2015-07-01,AT,60,60,60,59
2015-08-01,AT,63,61,56,61
2015-09-01,AT,64,59,53,57
2015-10-01,AT,69,62,53,62
2015-11-01,AT,68,63,58,58
2015-12-01,AT,75,60,76,56
2016-01-01,AT,67,62,49,66
2016-02-01,AT,68,64,50,60
2016-03-01,AT,66,63,52,64
2016-04-01,AT,64,58,51,57
2016-05-01,AT,66,66,52,65
2016-06-01,AT,63,62,55,60
2016-07-01,AT,61,63,56,63
2016-08-01,AT,63,64,52,58
2016-09-01,AT,65,67,50,67
2016-10-01,AT,67,69,56,63
2016-11-01,AT,67,65,52,69
2016-12-01,AT,73,66,72,71
2017-01-01,AT,66,66,52,67
2017-02-01,AT,66,61,53,67
2017-03-01,AT,69,67,53,69
2017-04-01,AT,72,69,59,69
2017-05-01,AT,68,68,57,69
2017-06-01,AT,68,74,62,71
2017-07-01,AT,69,74,59,73
2017-08-01,AT,70,75,62,70
2017-09-01,AT,75,74,62,69
2017-10-01,AT,74,79,62,74
2017-11-01,AT,77,73,61,71
2017-12-01,AT,82,76,78,85
2018-01-01,AT,72,73,58,84
2018-02-01,AT,72,77,58,80
2018-03-01,AT,76,79,64,86
2018-04-01,AT,67,74,63,76
2018-05-01,AT,74,80,65,83
2018-06-01,AT,73,82,64,81
2018-07-01,AT,73,84,64,89
2018-08-01,AT,72,83,66,88
2018-09-01,AT,73,79,59,84
2018-10-01,AT,78,80,62,83
2018-11-01,AT,77,79,61,76
2018-12-01,AT,90,80,93,90
2019-01-01,AT,74,79,58,92
2019-02-01,AT,77,85,62,87
2019-03-01,AT,79,86,67,86
2019-04-01,AT,78,83,66,90
2019-05-01,AT,74,81,70,90
2019-06-01,AT,76,87,74,88
2019-07-01,AT,78,91,74,94
2019-08-01,AT,79,96,68,93
2019-09-01,AT,78,84,63,80
2019-10-01,AT,80,84,69,87
2019-11-01,AT,84,86,69,86
2019-12-01,AT,95,89,88,91
2020-01-01,AT,81,86,65,95
2020-02-01,AT,80,92,66,88
2020-03-01,AT,95,64,89,85
2020-04-01,AT,97,65,81,100
2020-05-01,AT,92,73,70,90
2020-06-01,AT,87,86,70,86
2020-07-01,AT,86,95,77,90
2020-08-01,AT,85,94,72,90
2020-09-01,AT,85,85,66,81
2020-10-01,AT,88,77,68,83
2020-11-01,AT,92,66,70,83
2020-12-01,AT,100,61,100,86
2021-01-01,AT,88,60,76,87
2021-02-01,AT,85,61,66,81
2021-03-01,AT,83,58,73,76
2021-04-01,AT,84,60,75,77
2021-05-01,AT,85,80,71,90
2021-06-01,AT,75,84,69,79
2021-07-01,AT,80,97,72,86
2021-08-01,AT,78,100,66,93
2021-09-01,AT,79,89,61,80
2021-10-01,AT,83,90,62,80
2021-11-01,AT,82,73,68,70
2021-12-01,AT,84,65,86,74
2022-01-01,AT,85,73,62,81
2022-02-01,AT,82,80,60,82
2022-03-01,AT,74,73,59,73
2022-04-01,AT,80,79,64,76
2022-05-01,AT,77,77,62,75
2022-06-01,AT,74,79,69,76
2022-07-01,AT,80,86,70,85
2022-08-01,AT,79,88,65,79
2022-09-01,AT,73,74,60,71
2022-10-01,AT,78,81,62,73
2022-11-01,AT,76,74,60,70
2022-12-01,AT,88,79,83,81
2023-01-01,AT,82,76,58,77
2023-02-01,AT,76,77,59,76
2023-03-01,AT,77,76,58,72
2023-04-01,AT,82,78,65,77
