date,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2004-01-01,CZ,14,20,14,13
2004-02-01,CZ,15,15,16,11
2004-03-01,CZ,13,20,13,0
2004-04-01,CZ,15,12,11,13
2004-05-01,CZ,14,20,12,19
2004-06-01,CZ,14,11,11,5
2004-07-01,CZ,13,15,12,13
2004-08-01,CZ,14,17,14,8
2004-09-01,CZ,14,17,14,13
2004-10-01,CZ,15,22,13,20
2004-11-01,CZ,15,23,19,19
2004-12-01,CZ,16,14,18,2
2005-01-01,CZ,15,17,15,10
2005-02-01,CZ,16,21,17,14
2005-03-01,CZ,16,19,11,13
2005-04-01,CZ,17,27,15,15
2005-05-01,CZ,16,20,14,15
2005-06-01,CZ,18,21,16,9
2005-07-01,CZ,15,19,14,16
2005-08-01,CZ,17,24,13,10
2005-09-01,CZ,16,19,16,14
2005-10-01,CZ,18,20,17,10
2005-11-01,CZ,19,23,17,15
2005-12-01,CZ,20,22,18,12
2006-01-01,CZ,18,26,16,12
2006-02-01,CZ,18,25,16,15
2006-03-01,CZ,20,23,18,10
2006-04-01,CZ,19,24,14,18
2006-05-01,CZ,19,24,13,22
2006-06-01,CZ,18,24,17,20
2006-07-01,CZ,18,19,16,16
2006-08-01,CZ,19,21,14,17
2006-09-01,CZ,20,26,13,18
2006-10-01,CZ,21,25,21,17
2006-11-01,CZ,22,29,22,17
2006-12-01,CZ,25,27,23,17
2007-01-01,CZ,22,28,18,20
2007-02-01,CZ,23,29,19,24
2007-03-01,CZ,22,29,17,23
2007-04-01,CZ,21,31,21,21
2007-05-01,CZ,21,29,19,20
2007-06-01,CZ,20,28,21,23
2007-07-01,CZ,20,25,19,22
2007-08-01,CZ,21,28,18,25
2007-09-01,CZ,19,29,17,20
2007-10-01,CZ,24,30,20,22
2007-11-01,CZ,26,30,21,20
2007-12-01,CZ,27,30,24,23
2008-01-01,CZ,24,31,18,24
2008-02-01,CZ,24,26,19,22
2008-03-01,CZ,26,32,19,26
2008-04-01,CZ,26,44,19,25
2008-05-01,CZ,21,28,19,20
2008-06-01,CZ,23,28,18,23
2008-07-01,CZ,22,29,15,24
2008-08-01,CZ,22,26,17,20
2008-09-01,CZ,23,26,18,21
2008-10-01,CZ,23,27,20,23
2008-11-01,CZ,25,28,19,26
2008-12-01,CZ,27,29,20,26
2009-01-01,CZ,25,26,19,24
2009-02-01,CZ,25,28,18,23
2009-03-01,CZ,25,31,17,27
2009-04-01,CZ,24,27,17,27
2009-05-01,CZ,24,26,18,25
2009-06-01,CZ,25,30,17,28
2009-07-01,CZ,23,24,17,25
2009-08-01,CZ,23,25,17,25
2009-09-01,CZ,25,26,16,20
2009-10-01,CZ,26,29,19,25
2009-11-01,CZ,27,28,18,27
2009-12-01,CZ,30,29,21,26
2010-01-01,CZ,25,27,16,24
2010-02-01,CZ,25,28,17,23
2010-03-01,CZ,28,30,17,26
2010-04-01,CZ,26,29,19,26
2010-05-01,CZ,28,31,16,30
2010-06-01,CZ,26,29,16,24
2010-07-01,CZ,23,26,18,24
2010-08-01,CZ,25,26,15,23
2010-09-01,CZ,25,28,17,23
2010-10-01,CZ,27,30,17,25
2010-11-01,CZ,30,33,20,26
2010-12-01,CZ,30,32,21,28
2011-01-01,CZ,34,37,24,31
2011-02-01,CZ,36,37,22,34
2011-03-01,CZ,34,36,22,33
2011-04-01,CZ,35,38,22,34
2011-05-01,CZ,36,38,22,35
2011-06-01,CZ,36,39,23,34
2011-07-01,CZ,35,36,23,36
2011-08-01,CZ,36,36,22,33
2011-09-01,CZ,37,39,23,32
2011-10-01,CZ,40,39,26,34
2011-11-01,CZ,42,42,27,35
2011-12-01,CZ,45,41,31,36
2012-01-01,CZ,42,46,27,37
2012-02-01,CZ,41,43,27,40
2012-03-01,CZ,40,41,27,38
2012-04-01,CZ,42,41,27,42
2012-05-01,CZ,41,40,27,39
2012-06-01,CZ,41,40,27,41
2012-07-01,CZ,40,39,33,37
2012-08-01,CZ,42,40,28,36
2012-09-01,CZ,44,44,28,34
2012-10-01,CZ,46,41,30,35
2012-11-01,CZ,46,42,31,30
2012-12-01,CZ,47,38,35,36
2013-01-01,CZ,45,43,30,43
2013-02-01,CZ,46,43,30,45
2013-03-01,CZ,44,44,31,42
2013-04-01,CZ,43,40,29,42
2013-05-01,CZ,45,43,32,42
2013-06-01,CZ,43,43,29,45
2013-07-01,CZ,43,40,28,39
2013-08-01,CZ,45,40,30,37
2013-09-01,CZ,45,40,30,35
2013-10-01,CZ,49,42,32,37
2013-11-01,CZ,49,39,31,34
2013-12-01,CZ,55,40,38,39
2014-01-01,CZ,50,48,33,49
2014-02-01,CZ,50,42,34,39
2014-03-01,CZ,49,43,34,45
2014-04-01,CZ,49,43,32,43
2014-05-01,CZ,50,44,35,43
2014-06-01,CZ,47,44,32,43
2014-07-01,CZ,47,43,36,42
2014-08-01,CZ,50,45,34,40
2014-09-01,CZ,51,46,33,39
2014-10-01,CZ,51,43,36,39
2014-11-01,CZ,53,43,39,38
2014-12-01,CZ,57,44,38,40
2015-01-01,CZ,53,48,35,47
2015-02-01,CZ,52,49,39,48
2015-03-01,CZ,54,49,38,47
2015-04-01,CZ,55,49,38,49
2015-05-01,CZ,53,51,39,50
2015-06-01,CZ,56,51,39,50
2015-07-01,CZ,51,50,38,50
2015-08-01,CZ,53,52,38,46
2015-09-01,CZ,56,51,38,44
2015-10-01,CZ,60,50,37,45
